,时间,登录数
0,198101,0
1,198102,0
2,198103,0
3,198104,0
4,198105,0
5,198106,0
6,198107,3
7,198108,0
8,198109,2
9,198110,1
10,198111,1
11,198112,0
12,198201,0
13,198202,0
14,198203,0
15,198204,0
16,198205,0
17,198206,0
18,198207,2
19,198208,1
20,198209,1
21,198210,0
22,198211,0
23,198212,0
24,198301,0
25,198302,0
26,198303,0
27,198304,0
28,198305,0
29,198306,0
30,198307,2
31,198308,1
32,198309,0
33,198310,1
34,198311,0
35,198312,0
36,198401,0
37,198402,0
38,198403,0
39,198404,0
40,198405,0
41,198406,2
42,198407,1
43,198408,4
44,198409,0
45,198410,0
46,198411,0
47,198412,0
48,198501,0
49,198502,0
50,198503,0
51,198504,0
52,198505,0
53,198506,1
54,198507,2
55,198508,5
56,198509,1
57,198510,0
58,198511,0
59,198512,0
60,198601,0
61,198602,0
62,198603,0
63,198604,0
64,198605,0
65,198606,2
66,198607,1
67,198608,1
68,198609,0
69,198610,1
70,198611,0
71,198612,0
72,198701,0
73,198702,0
74,198703,0
75,198704,0
76,198705,0
77,198706,1
78,198707,1
79,198708,0
80,198709,1
81,198710,1
82,198711,0
83,198712,0
84,198801,0
85,198802,0
86,198803,0
87,198804,0
88,198805,0
89,198806,1
90,198807,1
91,198808,1
92,198809,2
93,198810,0
94,198811,0
95,198812,0
96,198901,0
97,198902,0
98,198903,0
99,198904,0
100,198905,1
101,198906,0
102,198907,3
103,198908,2
104,198909,2
105,198910,0
106,198911,0
107,198912,0
108,199001,0
109,199002,0
110,199003,0
111,199004,0
112,199005,0
113,199006,3
114,199007,1
115,199008,2
116,199009,2
117,199010,0
118,199011,0
119,199012,0
120,199101,0
121,199102,0
122,199103,0
123,199104,0
124,199105,0
125,199106,0
126,199107,2
127,199108,1
128,199109,2
129,199110,0
130,199111,0
131,199112,0
132,199201,0
133,199202,0
134,199203,0
135,199204,0
136,199205,0
137,199206,0
138,199207,2
139,199208,3
140,199209,1
141,199210,0
142,199211,0
143,199212,0
144,199301,0
145,199302,0
146,199303,0
147,199304,0
148,199305,0
149,199306,1
150,199307,0
151,199308,1
152,199309,3
153,199310,2
154,199311,0
155,199312,0
156,199401,0
157,199402,0
158,199403,0
159,199404,0
160,199405,0
161,199406,2
162,199407,4
163,199408,5
164,199409,0
165,199410,0
166,199411,0
167,199412,0
168,199501,0
169,199502,0
170,199503,0
171,199504,0
172,199505,0
173,199506,0
174,199507,1
175,199508,4
176,199509,2
177,199510,1
178,199511,0
179,199512,0
180,199601,0
181,199602,0
182,199603,0
183,199604,0
184,199605,0
185,199606,0
186,199607,2
187,199608,2
188,199609,2
189,199610,0
190,199611,0
191,199612,0
192,199701,0
193,199702,0
194,199703,0
195,199704,0
196,199705,0
197,199706,0
198,199707,1
199,199708,4
200,199709,0
201,199710,0
202,199711,0
203,199712,0
204,199801,0
205,199802,0
206,199803,0
207,199804,0
208,199805,0
209,199806,0
210,199807,1
211,199808,3
212,199809,1
213,199810,0
214,199811,0
215,199812,0
216,199901,0
217,199902,0
218,199903,0
219,199904,1
220,199905,0
221,199906,1
222,199907,1
223,199908,1
224,199909,3
225,199910,1
226,199911,0
227,199912,0
228,200001,0
229,200002,0
230,200003,0
231,200004,0
232,200005,0
233,200006,1
234,200007,2
235,200008,3
236,200009,0
237,200010,0
238,200011,0
239,200012,0
240,200101,0
241,200102,0
242,200103,0
243,200104,0
244,200105,0
245,200106,2
246,200107,3
247,200108,2
248,200109,1
249,200110,0
250,200111,0
251,200112,0
252,200201,0
253,200202,0
254,200203,0
255,200204,0
256,200205,0
257,200206,0
258,200207,0
259,200208,3
260,200209,2
261,200210,0
262,200211,0
263,200212,0
264,200301,0
265,200302,0
266,200303,0
267,200304,0
268,200305,0
269,200306,0
270,200307,2
271,200308,3
272,200309,0
273,200310,0
274,200311,1
275,200312,0
276,200401,0
277,200402,0
278,200403,0
279,200404,0
280,200405,0
281,200406,1
282,200407,2
283,200408,2
284,200409,1
285,200410,0
286,200411,0
287,200412,0
288,200501,0
289,200502,0
290,200503,0
291,200504,0
292,200505,0
293,200506,0
294,200507,2
295,200508,2
296,200509,2
297,200510,0
298,200511,0
299,200512,0
300,200601,0
301,200602,0
302,200603,0
303,200604,0
304,200605,1
305,200606,1
306,200607,3
307,200608,3
308,200609,1
309,200610,0
310,200611,0
311,200612,0
312,200701,0
313,200702,0
314,200703,0
315,200704,0
316,200705,0
317,200706,0
318,200707,0
319,200708,2
320,200709,1
321,200710,1
322,200711,0
323,200712,0
324,200801,0
325,200802,0
326,200803,0
327,200804,1
328,200805,0
329,200806,1
330,200807,2
331,200808,2
332,200809,2
333,200810,0
334,200811,0
335,200812,0
336,200901,0
337,200902,0
338,200903,0
339,200904,0
340,200905,0
341,200906,2
342,200907,4
343,200908,1
344,200909,1
345,200910,0
346,200911,0
347,200912,0
348,201001,0
349,201002,0
350,201003,0
351,201004,0
352,201005,0
353,201006,0
354,201007,1
355,201008,2
356,201009,2
357,201010,1
358,201011,0
359,201012,0
360,201101,0
361,201102,0
362,201103,0
363,201104,0
364,201105,0
365,201106,2
366,201107,0
367,201108,1
368,201109,0
369,201110,0
370,201111,0
371,201112,0
372,201201,0
373,201202,0
374,201203,0
375,201204,0
376,201205,0
